,Open,High,Low,Close,Volume,Moeda,Subiu,Acao,Data
123,79.82,81.3,79.52,80.17,22667600,'BRL',0,VALE3,2022-03-19
124,80.33,80.39,78.12,79.96,27155400,'BRL',0,VALE3,2022-03-18
125,80.76,80.87,77.21,78.48,20480000,'BRL',0,VALE3,2022-03-17
126,78.46,81.69,78.32,79.36,25983400,'BRL',0,VALE3,2022-03-16
127,78.2,79.74,77.35,79.2,25814300,'BRL',0,VALE3,2022-03-15
128,79.05,80.04,77.66,77.99,24921600,'BRL',0,VALE3,2022-03-14
129,76.84,77.51,74.98,75.83,32419700,'BRL',0,VALE3,2022-03-13
130,74.98,77.65,74.89,77.44,35900800,'BRL',0,VALE3,2022-03-12
131,76.5,77.23,74.63,74.76,31481600,'BRL',0,VALE3,2022-03-11
132,76.51,77.58,75.3,77.58,27135500,'BRL',0,VALE3,2022-03-10
133,76.66,77.0,74.39,74.52,34426700,'BRL',0,VALE3,2022-03-09
134,75.53,77.71,75.32,76.87,34346400,'BRL',0,VALE3,2022-03-08
135,78.16,78.94,75.73,75.9,29939700,'BRL',0,VALE3,2022-03-07
136,76.68,78.86,76.12,78.79,27114800,'BRL',0,VALE3,2022-03-06
137,79.03,80.68,78.59,79.91,28164400,'BRL',0,VALE3,2022-03-05
138,80.42,80.94,78.48,80.12,32303400,'BRL',0,VALE3,2022-03-04
139,80.47,81.33,80.23,80.5,40318300,'BRL',0,VALE3,2022-03-03
140,81.16,81.16,79.14,79.14,19775900,'BRL',0,VALE3,2022-03-02
141,79.16,80.02,78.38,79.81,14760700,'BRL',0,VALE3,2022-03-01
142,81.61,82.22,80.92,81.9,29262900,'BRL',0,VALE3,2022-02-28
143,82.76,83.65,81.62,82.8,33088500,'BRL',0,VALE3,2022-02-27
144,82.63,84.03,81.89,83.11,24966600,'BRL',0,VALE3,2022-02-26
145,82.03,83.75,79.94,81.05,50160600,'BRL',0,VALE3,2022-02-25
146,82.11,82.75,79.32,82.41,35754600,'BRL',0,VALE3,2022-02-24
147,82.57,83.48,81.49,83.25,21856100,'BRL',0,VALE3,2022-02-23
148,83.9,84.11,80.77,81.36,24470400,'BRL',0,VALE3,2022-02-22
149,82.07,83.05,79.92,80.35,42856000,'BRL',0,VALE3,2022-02-21
150,81.61,84.44,81.06,83.79,32798000,'BRL',0,VALE3,2022-02-20
151,82.88,86.86,80.7,86.37,47565800,'BRL',0,VALE3,2022-02-19
152,86.71,88.41,84.71,85.3,41473300,'BRL',0,VALE3,2022-02-18
153,84.5,86.27,82.9,84.04,48492500,'BRL',0,VALE3,2022-02-17
154,84.14,89.37,83.44,89.02,46503300,'BRL',0,VALE3,2022-02-16
155,88.12,90.55,87.86,88.54,39677300,'BRL',0,VALE3,2022-02-15
156,86.61,88.22,85.18,87.65,40537000,'BRL',0,VALE3,2022-02-14
157,86.61,86.92,85.03,86.3,31311800,'BRL',0,VALE3,2022-02-13
158,87.94,88.92,87.25,88.57,26203200,'BRL',0,VALE3,2022-02-12
159,87.95,88.34,85.91,86.53,21115500,'BRL',0,VALE3,2022-02-11
160,85.73,86.48,85.07,86.01,19951000,'BRL',0,VALE3,2022-02-10
161,86.21,86.92,85.3,85.74,19078800,'BRL',0,VALE3,2022-02-09
162,85.64,87.17,85.34,86.97,21369500,'BRL',0,VALE3,2022-02-08
163,86.79,87.3,84.86,85.42,19048300,'BRL',0,VALE3,2022-02-07
164,85.37,85.42,83.01,84.2,38510300,'BRL',0,VALE3,2022-02-06
165,83.08,83.36,81.6,82.8,21012900,'BRL',0,VALE3,2022-02-05
166,82.92,83.31,80.89,80.89,20290600,'BRL',0,VALE3,2022-02-04
167,81.73,84.07,81.56,82.75,24629600,'BRL',0,VALE3,2022-02-03
168,82.65,82.87,80.49,82.12,23542600,'BRL',0,VALE3,2022-02-02
169,83.27,85.04,82.96,84.86,26659900,'BRL',0,VALE3,2022-02-01
170,85.28,87.46,85.17,87.04,25817100,'BRL',0,VALE3,2022-01-31
171,86.98,87.5,85.8,86.23,17895900,'BRL',0,VALE3,2022-01-30
172,86.32,87.56,85.9,87.03,18674800,'BRL',0,VALE3,2022-01-29
173,87.5,87.82,85.4,86.52,17065300,'BRL',0,VALE3,2022-01-28
174,88.68,92.23,88.66,91.85,35726400,'BRL',0,VALE3,2022-01-27
175,92.21,92.89,90.66,90.66,22106600,'BRL',0,VALE3,2022-01-26
176,90.94,93.56,90.75,92.89,32720700,'BRL',0,VALE3,2022-01-25
177,93.22,93.54,92.5,92.83,25886000,'BRL',0,VALE3,2022-01-24
178,92.39,92.98,91.45,91.5,18798800,'BRL',0,VALE3,2022-01-23
179,91.41,92.06,90.8,91.86,14729800,'BRL',0,VALE3,2022-01-22
180,92.3,92.65,91.37,92.02,17575700,'BRL',0,VALE3,2022-01-21
181,92.36,95.75,92.18,95.05,37999200,'BRL',0,VALE3,2022-01-20
182,96.53,97.61,95.54,96.13,19334800,'BRL',0,VALE3,2022-01-19
183,96.51,96.93,95.5,96.54,17363800,'BRL',0,VALE3,2022-01-18
184,96.83,97.61,95.62,95.7,23222200,'BRL',0,VALE3,2022-01-17
185,95.9,96.25,93.29,94.31,20782200,'BRL',0,VALE3,2022-01-16
186,95.27,95.27,92.69,94.37,19703600,'BRL',0,VALE3,2022-01-15
